# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     7.83%          3799  [.] scheduler_wait                                                                                                                                                                      -      -            
     1.09%           429  [.] erts_schedule                                                                                                                                                                       -      -            
     1.02%           394  [.] rwmutex_freqread_rlock                                                                                                                                                              -      -            
     0.96%           368  [.] rbt_insert                                                                                                                                                                          -      -            
     0.95%           368  [.] aoff_get_free_block                                                                                                                                                                 -      -            
     0.93%           357  [.] ethr_rwmutex_runlock                                                                                                                                                                -      -            
     0.82%           320  [.] rbt_delete                                                                                                                                                                          -      -            
     0.58%           220  [.] hash_get                                                                                                                                                                            -      -            
     0.54%           209  [.] copy_struct_x                                                                                                                                                                       -      -            
     0.54%           211  [.] erts_alcu_free_thr_pref                                                                                                                                                             -      -            
     0.51%           200  [.] erts_alcu_check_delayed_dealloc                                                                                                                                                     -      -            
     0.46%           180  [.] mbc_free                                                                                                                                                                            -      -            
     0.44%           171  [.] persistent_term_get_2                                                                                                                                                               -      -            
     0.44%           171  [.] make_internal_hash                                                                                                                                                                  -      -            
     0.41%           161  [.] erts_alcu_alloc_thr_pref                                                                                                                                                            -      -            
     0.39%           153  [.] mbc_alloc                                                                                                                                                                           -      -            
     0.36%           139  [.] eq                                                                                                                                                                                  -      -            
     0.35%           138  [.] do_minor                                                                                                                                                                            -      -            
     0.34%           138  [.] handle_aux_work                                                                                                                                                                     -      -            
     0.33%           128  [.] erts_proc_sig_handle_incoming                                                                                                                                                       -      -            
     0.30%           114  [.] aoff_unlink_free_block                                                                                                                                                              -      -            
     0.28%           108  [.] sweep_off_heap                                                                                                                                                                      -      -            
     0.28%           106  [.] enc_term_int                                                                                                                                                                        -      -            
     0.27%           101  [.] erts_thr_progress_leader_update                                                                                                                                                     -      -            
